X,Y,Diameter (m),Cluster,SizeLabel
669,358,4.12,2,Small
224,348,6.72,2,Small
113,349,10.82,2,Small
155,338,8.77,2,Small
372,320,6.4,2,Small
317,326,18.47,2,Small
90,326,18.15,2,Small
357,308,8.1,2,Small
1,291,4.24,2,Small
302,293,8.54,2,Small
55,287,5.39,2,Small
651,293,27.33,0,Medium
534,295,27.35,0,Medium
62,280,5.39,2,Small
436,278,10.45,2,Small
369,274,4.25,2,Small
337,275,6.71,2,Small
90,269,5.83,2,Small
457,270,12.21,2,Small
416,264,12.08,2,Small
674,264,14.56,2,Small
558,263,14.56,2,Small
88,260,6.0,2,Small
200,262,26.08,0,Medium
1,266,24.08,0,Medium
372,251,8.44,2,Small
494,245,4.12,2,Small
452,246,8.06,2,Small
651,246,10.04,2,Small
394,245,17.34,2,Small
350,238,4.0,2,Small
122,240,13.42,2,Small
256,249,45.91,0,Medium
82,238,45.69,0,Medium
139,221,5.39,2,Small
165,235,36.23,0,Medium
151,218,5.1,2,Small
420,224,33.36,0,Medium
217,217,12.65,2,Small
89,216,4.25,2,Small
395,215,11.4,2,Small
520,209,4.12,2,Small
143,201,7.62,2,Small
267,206,23.6,0,Medium
325,197,12.37,2,Small
42,197,14.77,2,Small
229,193,21.38,0,Medium
279,191,10.82,2,Small
418,190,7.95,2,Small
315,187,18.97,2,Small
495,183,7.43,2,Small
60,183,7.28,2,Small
115,179,8.25,2,Small
83,179,5.2,2,Small
140,173,14.32,2,Small
76,165,6.32,2,Small
222,161,7.62,2,Small
213,160,5.1,2,Small
442,161,16.49,2,Small
130,161,8.06,2,Small
337,158,18.44,2,Small
119,156,4.47,2,Small
435,150,15.13,2,Small
370,148,9.43,2,Small
286,145,12.17,2,Small
264,151,19.11,2,Small
164,142,7.28,2,Small
243,143,38.08,0,Medium
347,78,712.29,1,Large
