X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType
1438,1147,4.47,10.0,12.83,0.76,1.25,Irregular
1352,1146,7.62,14.5,18.24,0.55,2.0,Elongated
563,1147,12.04,38.5,29.07,0.57,2.6,Elongated
784,1148,20.0,79.0,46.14,0.47,3.0,Elongated
1535,1146,16.28,89.5,41.9,0.64,2.12,Elongated
428,1144,23.41,95.5,55.21,0.39,2.56,Elongated
24,1144,11.31,38.0,27.31,0.64,1.0,Irregular
889,1140,34.37,329.5,89.7,0.51,2.06,Elongated
1342,1137,15.02,88.0,38.63,0.74,0.86,Irregular
1775,1133,7.21,22.0,18.49,0.81,1.17,Irregular
356,1130,5.39,12.5,14.24,0.77,0.67,Elongated
1447,1129,5.1,10.0,12.49,0.81,0.67,Elongated
1434,1128,7.69,30.5,21.9,0.8,1.14,Irregular
343,1127,7.28,20.5,19.07,0.71,0.62,Elongated
567,1128,19.32,155.0,51.11,0.75,1.27,Irregular
541,1127,27.02,179.5,64.18,0.55,0.91,Irregular
315,1125,24.76,180.0,61.46,0.6,1.11,Irregular
1499,1123,14.32,33.5,33.07,0.38,0.33,Elongated
948,1117,10.82,37.0,26.14,0.68,1.25,Irregular
385,1130,60.22,826.5,174.27,0.34,1.42,Irregular
1310,1125,32.11,400.0,106.08,0.45,0.81,Irregular
599,1112,21.38,161.5,62.53,0.52,1.4,Irregular
349,1105,8.94,45.0,25.31,0.88,1.12,Irregular
660,1102,4.12,10.0,11.66,0.92,0.8,Irregular
1733,1104,11.18,62.0,30.14,0.86,0.82,Irregular
1894,1122,59.69,1232.5,162.12,0.59,0.83,Irregular
164,1097,5.83,13.0,14.49,0.78,1.2,Irregular
526,1098,15.81,139.5,46.38,0.81,0.81,Irregular
920,1118,104.29,1348.5,283.18,0.21,1.4,Irregular
663,1087,8.6,21.0,21.31,0.58,1.14,Irregular
518,1084,11.66,41.0,28.14,0.65,0.73,Irregular
407,1089,40.31,485.0,104.23,0.56,1.29,Irregular
1721,1081,11.18,54.5,29.56,0.78,0.67,Elongated
1766,1087,30.53,180.0,72.43,0.43,0.74,Irregular
1534,1078,8.54,30.5,22.24,0.77,0.56,Elongated
376,1070,24.77,64.5,61.7,0.21,1.0,Irregular
362,1078,36.67,325.5,104.33,0.38,0.56,Elongated
1706,1065,8.17,37.0,24.14,0.8,0.89,Irregular
1635,1061,12.21,57.5,31.56,0.73,1.62,Elongated
533,1058,4.47,10.5,12.24,0.88,0.8,Irregular
497,1062,25.0,245.0,75.94,0.53,1.19,Irregular
260,1087,93.31,1746.0,421.93,0.12,1.29,Irregular
524,1051,5.83,18.0,16.49,0.83,1.0,Irregular
247,1042,7.81,18.0,18.49,0.66,0.86,Irregular
1592,1061,51.94,748.5,162.75,0.36,0.94,Irregular
473,1036,17.89,68.0,41.8,0.49,1.7,Elongated
431,1030,8.06,32.5,21.9,0.85,0.88,Irregular
318,1042,53.34,859.5,240.84,0.19,1.21,Irregular
1528,1030,24.2,156.5,62.53,0.5,0.7,Elongated
1826,1023,15.23,79.0,36.63,0.74,0.67,Elongated
1643,1032,39.59,496.0,135.2,0.34,0.92,Irregular
1698,1018,17.8,85.5,43.21,0.58,1.33,Irregular
418,1015,18.44,47.0,41.8,0.34,2.38,Elongated
1765,1014,18.84,147.0,53.46,0.65,0.94,Irregular
1627,1008,6.4,12.5,15.07,0.69,0.83,Irregular
144,1010,29.09,188.5,82.67,0.35,0.8,Irregular
1952,999,16.42,98.5,41.21,0.73,0.93,Irregular
540,1043,127.63,2722.0,448.07,0.17,0.77,Irregular
395,1023,154.74,3436.0,501.19,0.17,1.69,Elongated
248,997,23.6,237.5,63.7,0.74,1.0,Irregular
527,989,20.25,57.5,46.04,0.34,1.5,Irregular
352,983,17.03,77.0,39.46,0.62,0.93,Irregular
472,1002,79.03,1145.5,240.35,0.25,0.95,Irregular
1738,963,5.83,16.0,15.66,0.82,0.83,Irregular
253,958,26.26,239.0,66.28,0.68,1.05,Irregular
227,953,22.8,167.5,56.87,0.65,0.8,Irregular
493,960,57.2,515.5,137.3,0.34,0.77,Irregular
78,940,15.65,76.5,38.38,0.65,1.5,Irregular
277,937,10.01,41.0,26.14,0.75,1.25,Irregular
255,940,14.21,81.5,37.56,0.73,0.71,Irregular
185,936,8.26,29.5,22.73,0.72,0.78,Irregular
124,929,8.06,14.0,18.49,0.51,0.44,Elongated
159,931,23.32,100.5,53.7,0.44,0.67,Elongated
215,926,20.64,187.0,54.28,0.8,1.33,Irregular
228,914,8.94,47.5,25.9,0.89,0.89,Irregular
122,914,19.24,79.0,45.11,0.49,1.38,Irregular
1707,956,115.49,2696.0,313.22,0.35,0.67,Elongated
1950,895,6.41,21.0,18.49,0.77,0.86,Irregular
1475,892,4.47,12.0,13.66,0.81,1.0,Irregular
84,950,150.33,4073.5,601.17,0.14,0.74,Irregular
121,950,8.94,38.0,24.14,0.82,0.89,Irregular
253,887,6.4,16.5,16.24,0.79,0.83,Irregular
1949,887,6.32,18.0,16.49,0.83,0.71,Irregular
66,886,6.32,19.5,17.07,0.84,0.71,Irregular
96,891,46.01,304.0,110.23,0.31,0.94,Irregular
1485,883,39.83,278.5,97.01,0.37,1.68,Elongated
52,874,12.65,94.0,36.97,0.86,1.18,Irregular
1335,864,5.96,18.0,16.49,0.83,1.0,Irregular
117,879,69.77,901.0,160.02,0.44,0.56,Elongated
119,885,4.47,12.5,13.07,0.92,1.0,Round
112,879,6.71,20.5,17.9,0.8,0.86,Irregular
87,852,14.77,87.5,38.38,0.75,0.79,Irregular
1345,845,31.78,336.5,103.5,0.39,1.45,Irregular
1713,836,32.25,373.0,88.43,0.6,1.26,Irregular
1302,824,4.61,10.0,12.83,0.76,0.8,Irregular
1899,821,5.83,15.0,15.66,0.77,1.2,Irregular
61,811,27.0,249.0,71.6,0.61,0.92,Irregular
1881,897,204.94,9979.0,847.03,0.17,0.52,Elongated
1834,879,45.61,579.0,114.57,0.55,0.58,Elongated
640,805,37.74,377.5,98.33,0.49,1.21,Irregular
42,826,114.69,2212.0,280.25,0.35,1.09,Irregular
673,789,6.32,22.5,17.9,0.88,0.86,Irregular
1904,796,29.73,164.5,69.36,0.43,0.91,Irregular
190,836,135.25,5739.5,503.83,0.28,0.95,Irregular
207,865,13.62,88.5,37.21,0.8,1.08,Irregular
176,819,32.45,389.0,82.08,0.73,1.21,Irregular
1943,782,8.6,42.0,24.49,0.88,1.0,Round
715,777,10.63,46.0,28.14,0.73,1.11,Irregular
619,780,17.85,112.0,54.28,0.48,1.0,Irregular
126,786,30.49,357.5,81.01,0.68,0.96,Irregular
1969,779,16.76,94.5,40.38,0.73,0.53,Elongated
2004,770,5.66,15.0,14.83,0.86,1.0,Round
608,760,6.32,19.5,17.07,0.84,0.71,Irregular
631,758,6.32,11.5,15.07,0.64,1.75,Elongated
214,762,18.87,144.0,49.46,0.74,0.88,Irregular
179,756,5.39,12.5,14.24,0.77,0.67,Elongated
594,751,9.55,50.0,27.31,0.84,1.25,Irregular
28,752,15.81,44.5,35.21,0.45,0.71,Irregular
71,768,64.01,1136.0,170.37,0.49,0.65,Elongated
792,733,11.18,49.5,28.73,0.75,0.73,Irregular
1546,730,30.89,325.5,77.5,0.68,1.22,Irregular
1826,728,19.65,88.5,49.21,0.46,0.55,Elongated
777,725,12.37,63.5,32.73,0.74,0.62,Elongated
25,727,27.02,85.5,59.01,0.31,1.22,Irregular
328,855,352.02,31882.0,1427.62,0.2,0.86,Irregular
375,882,9.49,32.5,23.56,0.74,0.7,Irregular
382,850,19.31,168.5,51.21,0.81,1.46,Irregular
338,844,53.24,947.0,145.34,0.56,0.81,Irregular
399,823,19.43,172.5,54.87,0.72,1.06,Irregular
296,821,60.41,1164.0,169.82,0.51,0.69,Elongated
260,814,52.63,638.0,129.54,0.48,0.86,Irregular
349,782,9.49,48.0,26.14,0.88,1.25,Irregular
294,782,17.02,129.5,46.87,0.74,0.94,Irregular
354,791,72.4,1276.5,210.69,0.36,1.34,Irregular
1764,803,193.17,10455.5,671.65,0.29,0.54,Elongated
1778,853,22.2,219.0,60.28,0.76,0.9,Irregular
866,713,14.77,59.5,38.73,0.5,0.71,Irregular
775,710,10.22,35.5,26.73,0.62,1.57,Elongated
1889,706,5.83,17.5,16.24,0.83,1.2,Irregular
1926,720,33.54,446.0,106.57,0.49,0.97,Irregular
1981,702,26.44,197.0,74.77,0.44,1.37,Irregular
1847,696,7.69,33.0,22.49,0.82,0.88,Irregular
753,694,9.9,52.5,27.9,0.85,1.25,Irregular
1854,687,9.49,37.5,25.07,0.75,0.6,Elongated
75,686,10.2,33.5,25.07,0.67,0.45,Elongated
1001,673,9.85,42.0,25.31,0.82,1.43,Irregular
16,670,10.1,58.5,29.56,0.84,1.0,Irregular
986,668,13.6,36.0,30.14,0.5,2.33,Elongated
855,681,32.25,295.5,86.18,0.5,0.52,Elongated
62,672,18.44,126.0,48.63,0.67,0.94,Irregular
41,678,45.4,615.5,127.3,0.48,0.57,Elongated
39,680,9.07,41.5,25.56,0.8,1.0,Irregular
832,655,8.54,38.5,24.73,0.79,0.89,Irregular
877,664,29.27,345.5,103.64,0.4,0.9,Irregular
1820,645,18.49,197.5,52.87,0.89,1.0,Round
149,705,151.16,5763.5,846.39,0.1,0.82,Irregular
143,750,14.87,101.0,39.8,0.8,0.73,Irregular
196,731,13.42,76.5,35.21,0.78,0.85,Irregular
1023,605,12.53,35.5,29.56,0.51,1.5,Irregular
2001,636,85.76,3176.5,249.18,0.64,0.87,Irregular
1089,599,8.06,25.0,20.49,0.75,0.75,Irregular
1189,596,5.83,15.5,15.07,0.86,0.83,Irregular
1743,594,7.21,22.5,19.07,0.78,0.86,Irregular
941,603,36.4,410.5,94.67,0.58,1.24,Irregular
1028,587,6.08,13.5,15.07,0.75,1.75,Elongated
190,588,6.8,24.5,19.9,0.78,1.0,Irregular
458,591,22.56,125.0,53.8,0.54,0.43,Elongated
81,582,8.06,28.5,21.07,0.81,0.75,Irregular
320,588,88.32,902.5,213.44,0.25,1.64,Elongated
1130,554,9.9,29.5,23.56,0.67,1.12,Irregular
426,567,41.64,754.0,125.88,0.6,1.05,Irregular
