X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType,Cluster,SizeLabel
397,518,8.54,31.5,23.07,0.74,0.67,Elongated,2,Small
645,517,16.52,116.0,46.97,0.66,1.23,Irregular,2,Small
517,516,26.83,162.0,62.28,0.52,1.79,Elongated,2,Small
80,511,9.22,14.5,20.73,0.42,0.88,Irregular,2,Small
145,508,22.14,135.5,54.87,0.57,1.83,Elongated,2,Small
240,503,5.66,11.0,13.66,0.74,1.0,Irregular,2,Small
302,511,27.81,239.5,81.7,0.45,1.09,Irregular,2,Small
644,500,4.47,13.0,13.66,0.88,1.0,Round,2,Small
266,495,6.9,27.0,20.49,0.81,1.0,Irregular,2,Small
220,498,26.99,242.5,78.53,0.49,1.14,Irregular,2,Small
315,487,8.06,14.0,18.49,0.51,1.6,Elongated,2,Small
369,505,56.61,626.0,157.74,0.32,1.21,Irregular,0,Medium
251,483,6.44,20.0,17.66,0.81,1.0,Irregular,2,Small
160,480,5.68,16.5,16.24,0.79,1.2,Irregular,2,Small
183,490,59.46,829.0,186.02,0.3,0.61,Elongated,0,Medium
303,469,17.47,92.0,46.63,0.53,0.56,Elongated,2,Small
267,467,21.28,101.5,61.21,0.34,1.12,Irregular,2,Small
230,462,10.63,54.5,29.56,0.78,1.0,Irregular,2,Small
291,453,5.83,11.0,14.83,0.63,0.67,Elongated,2,Small
350,438,6.4,19.0,16.83,0.84,1.2,Irregular,2,Small
336,458,51.31,620.5,147.44,0.36,0.82,Irregular,0,Medium
310,445,21.38,171.5,65.7,0.5,0.68,Elongated,2,Small
250,440,13.9,54.0,55.11,0.22,1.17,Irregular,2,Small
536,434,10.0,12.5,21.56,0.34,1.29,Irregular,2,Small
188,425,5.1,11.5,13.9,0.75,1.2,Irregular,2,Small
263,417,5.83,13.5,15.07,0.75,0.83,Irregular,2,Small
182,417,5.39,10.0,13.66,0.67,0.67,Elongated,2,Small
294,422,32.57,337.5,89.36,0.53,1.6,Elongated,2,Small
84,414,6.32,19.0,17.31,0.8,1.17,Irregular,2,Small
246,417,19.7,96.5,48.53,0.51,0.63,Elongated,2,Small
